exercise,muscle_group
Stability Ball Dead Bug,Abdominals
Bodyweight Glute Bridge,Glutes
Bodyweight Bird Dog,Abdominals
"Stability Ball Seated Russian Twist ",Abdominals
"Stability Ball Feet Elevated Crunch ",Abdominals
"Ring Hanging Knee Raise ",Abdominals
Parallette Mountain Climber,Abdominals
Parallette Push Up,Chest
Bodyweight Knee Hover Bird Dog,Abdominals
Stability Ball Pass,Abdominals
Bodyweight Dead Bug,Abdominals
Bodyweight Alternating Heel Taps,Abdominals
Bodyweight Flutter Kicks,Abdominals
Bodyweight Kneeling Plank,Abdominals
Bodyweight Seated Ab Circles,Abdominals
Ring Hanging Oblique Knee Raise,Abdominals
Stability Ball Stir The Pot,Abdominals
Bodyweight Alternating Side Kick Through,Abdominals
"Ring L Sit Hang Flutter Kicks ",Abdominals
Slam Ball Russian Twist,Abdominals
Dumbbell Otis Up,Abdominals
"Single Arm Dumbbell Side Plank Reach Through ",Abdominals
Ab Wheel Kneeling Rollout,Abdominals
Cable Seated Crunch,Abdominals
Cable Kneeling Crunch,Abdominals
Medicine Ball V-Up,Abdominals
Suspension Knee Tuck,Abdominals
Suspension Lateral Knee Tuck,Abdominals
Bodyweight Push Up Alternating Kick Through,Chest
Single Arm Dumbbell Turkish Get Up,Abdominals
Bodyweight Bear Crawl,Abdominals
Stability Ball Knee Tuck,Abdominals
"Ring Hanging Leg Raise ",Abdominals
Parallette L Sit,Abdominals
Bodyweight Standing Walkout Plank,Abdominals
"Bodyweight Standing Walkout Push-Up ",Chest
Barbell Climb,Abdominals
Bodyweight Ipsilateral Bird Dog,Abdominals
Bodyweight Copenhagen Plank Knee to Elbow,Adductors
Ring Dead Hang,Back
"Suspension Archer Row ",Shoulders
Ring Eccentric Pull Up,Back
Ring Pull Up,Back
Ring Eccentric Chin Up,Biceps
Miniband Fire Hydrant,Glutes
Medicine Ball Russian Twist,Abdominals
Bodyweight Side Plank,Abdominals
Cable Reverse Ankle Strap Crunch,Abdominals
Cable Half Kneeling High to Low Chop,Abdominals
Cable Half Kneeling Low to High Chop,Abdominals
Kettlebell Half Kneeling Low to High Chop,Abdominals
"Cable Standing High to Low Chop ",Abdominals
Cable Standing Low to High Chop,Abdominals
Single Arm Dumbbell Windmill,Abdominals
Single Arm Kettlebell Windmill,Abdominals
Kettlebell Russian Twist,Abdominals
"Bodyweight Feet On Wall Mountain Climber ",Abdominals
Alternating Single Arm Kettlebell Plank Pull Through,Abdominals
Bodyweight Hollow Body Hold,Abdominals
Dumbbell Crush Grip Hollow Body Hold,Abdominals
Inverted Hanging Crunch,Abdominals
Inverted Hanging Oblique Crunch,Abdominals
"Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ",Abdominals
Bodyweight Supine Alternating Single Leg Raise,Abdominals
Bodyweight Supine Leg Raise,Abdominals
Miniband Bicycle Crunch,Abdominals
Bodyweight Side Plank Reach Through,Abdominals
Bodyweight Sit Up,Abdominals
Bodyweight Butterfly Sit Up,Abdominals
